trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,qty,fees,session,notes
1,NQ,long,2025-09-01 09:30:00,2025-09-01 10:00:00,15000,15050,1,5,NY,"Morning scalp"
2,NQ,short,2025-09-01 10:15:00,2025-09-01 11:00:00,15040,14980,2,10,NY,"Trend short"
3,BTCUSDT,long,2025-09-02 08:00:00,2025-09-02 12:00:00,60000,59800,0.5,2,ASIA,"Losing long"
4,ETHUSDT,short,2025-09-03 14:00:00,2025-09-03 15:00:00,4000,3900,1,3,LON,"Quick short"
5,NQ,long,2025-09-04 09:45:00,2025-09-04 10:15:00,15100,15160,1,5,NY,"Strong win"
6,NQ,long,2025-09-04 11:00:00,2025-09-04 11:30:00,15150,15120,1,5,NY,"Small loss"
7,BTCUSDT,short,2025-09-05 09:00:00,2025-09-05 10:00:00,60500,60000,0.25,1,ASIA,"Win short"
8,BTCUSDT,long,2025-09-05 10:30:00,2025-09-05 14:00:00,59900,60200,0.25,1,ASIA,"Win long"
9,ETHUSDT,long,2025-09-06 13:00:00,2025-09-06 15:00:00,3950,4000,1,2,LON,"Win long"
10,ETHUSDT,short,2025-09-06 15:30:00,2025-09-06 17:00:00,4010,4050,1,2,LON,"Loss short"
11,NQ,long,2025-09-07 09:30:00,2025-09-07 10:00:00,15200,15240,1,5,NY,"Scalp"
12,NQ,short,2025-09-07 10:15:00,2025-09-07 11:00:00,15230,15180,1,5,NY,"Small win"
13,NQ,short,2025-09-08 09:30:00,2025-09-08 10:30:00,15170,15220,1,5,NY,"Loss short"
14,BTCUSDT,long,2025-09-08 11:00:00,2025-09-08 15:00:00,60300,60700,0.3,2,ASIA,"Solid win"
15,ETHUSDT,long,2025-09-09 12:00:00,2025-09-09 13:30:00,3900,3880,1,2,LON,"Loss long"
16,ETHUSDT,short,2025-09-09 14:00:00,2025-09-09 16:00:00,3920,3850,2,4,LON,"Strong win"
17,NQ,long,2025-09-10 09:30:00,2025-09-10 10:15:00,15300,15380,1,5,NY,"Big win"
18,NQ,long,2025-09-10 10:45:00,2025-09-10 11:15:00,15370,15320,1,5,NY,"Loss scalp"
19,BTCUSDT,short,2025-09-11 08:00:00,2025-09-11 12:00:00,61000,60500,0.4,2,ASIA,"Win short"
20,ETHUSDT,long,2025-09-11 14:00:00,2025-09-11 17:00:00,3820,3860,1,3,LON,"Win long"
